speed_m_s,beta,core_radius_m,assumed_variation_length_m,air_mach,air_knudsen_proxy,air_reynolds_proxy,air_collision_rate_proxy,water_mach,water_length_over_mean_spacing,water_molecules_in_assumed_averaging_cube
20.414259991464938,1.0,4.898536613220824e-05,4.898536613220824e-05,0.059174552132315546,0.00137387969742559,65.02914198230621,6.028061106072635e-05,0.013639520699065332,157643.00517234264,3917636306945.278
21.435108852692274,1.0,4.6652433951806075e-05,4.6652433951806075e-05,0.06213367355935567,0.00144258282578619,65.0291419823062,6.646021617827935e-05,0.014321587508205072,150135.2437974603,3384137189700.438
22.507006950967874,1.0,4.443060786263261e-05,4.443060786263261e-05,0.06524077075139,0.0015147215678001378,65.0291419823062,7.327331718674855e-05,0.015037762197115246,142985.04018925817,2923289356495.53
23.63250708788871,1.0,4.231459642775202e-05,4.231459642775202e-05,0.06850324348148139,0.0015904677270149102,65.02914198230619,8.078485626871251e-05,0.015789750386780255,136175.36562903703,2525199240683.4146
24.81428972212109,1.0,4.029936021535745e-05,4.029936021535745e-05,0.07192886156059311,0.0016700016982987495,65.02914198230619,8.906643308809825e-05,0.016579342990585035,129690.00239225746,2181320569918.6975
26.055169353103697,1.0,3.838009979700554e-05,3.838009979700554e-05,0.07552578334194637,0.0017535128974638784,65.02914198230621,9.819698727506437e-05,0.01740842047950269,123513.50512487482,1884270893199.981
27.358101223978366,1.0,3.655224431743593e-05,3.655224431743593e-05,0.07930257515071944,0.0018412002123737437,65.02914198230621,0.00010826355087512423,0.018278957360569992,117631.16405912892,1627673093044.263
28.72618835971178,1.0,3.481144060875445e-05,3.481144060875445e-05,0.08326823168536014,0.0019332724766086028,65.0291419823062,0.00011936207793481852,0.019193026879316327,112028.9699811863,1406018480347.612
30.16268895717034,1.0,3.315354282305384e-05,3.315354282305384e-05,0.08743219743910059,0.0020299489668175637,65.0291419823062,0.00013159835913151538,0.020152805957345483,106693.58086720001,1214548532827.0715
31.671024144747822,1.0,3.157460255878196e-05,3.157460255878196e-05,0.09180438919268984,0.002131459924941529,65.0291419823062,0.00014508903016554743,0.021160580376829368,101612.29010833045,1049152738182.8525
33.25478613002609,1.0,3.007085945734258e-05,3.007085945734258e-05,0.09639521963191279,0.002238047106550756,65.0291419823062,0.00015996268352663553,0.022218750224260883,96772.99624905238,906280348858.8959
34.9177467548731,1.0,2.8638732247533715e-05,2.8638732247533715e-05,0.10121562214614253,0.00234996435660296,65.0291419823062,0.0001763610942319101,0.02332983560643073,92164.17416667726,782864153936.6141
36.663866478352666,1.0,2.727481021649549e-05,2.727481021649549e-05,0.10627707686698502,0.002467478213993135,65.02914198230619,0.00019444057121920967,0.02449648265224102,87774.8476234536,676254631682.7548
38.49730380883959,1.0,2.5975845086854734e-05,2.5975845086854734e-05,0.11159163800902945,0.0025908685463349045,65.02914198230619,0.0002143734472770802,0.025721469814649595,83594.56312587565,584163069126.0466
40.42242520780324,1.0,2.4738743280721252e-05,2.4738743280721252e-05,0.1171719625778181,0.0027204292164851587,65.02914198230619,0.00023634972171342232,0.02700771448775342,79613.36502894465,504612427543.19226
42.44381548884625,1.0,2.3560558552111997e-05,2.3560558552111997e-05,0.12303134051340554,0.0028564687823993524,65.0291419823062,0.0002605788714206326,0.028358279954770235,75821.77182609211,435894899025.3462
44.566288736764484,1.0,2.243848497025647e-05,2.243848497025647e-05,0.12918372634129713,0.0029993112319842497,65.0291419823062,0.0002872918476002361,0.02977638268346561,72210.75356829664,376535242941.5794
46.794899772632355,1.0,2.1369850237073114e-05,2.1369850237073114e-05,0.13564377240614364,0.003149296754698157,65.02914198230621,0.00031674327717969405,0.03126539998639964,68771.7103586185,325259115199.7633
49.134956192219036,1.0,2.0352109322901136e-05,2.0352109322901136e-05,0.1424268637673434,0.0033067825517363414,65.0291419823062,0.0003492138899052075,0.032828878064237274,65496.451870932564,280965710391.5424
51.59203100640545,1.0,1.9382838405331324e-05,1.9382838405331324e-05,0.14954915483965572,0.0034721436867310865,65.0291419823062,0.0003850131942454512,0.03447054045127748,62377.17784408411,242704129497.92587
54.171975913706255,1.0,1.845972909670046e-05,1.845972909670046e-05,0.15702760786608935,0.0036457739789924315,65.02914198230619,0.00042448242761284027,0.03619429688331518,59406.45950501159,209652965813.00912
56.88093523650624,1.0,1.758058294650189e-05,1.758058294650189e-05,0.164880033314691,0.00382808694141687,65.0291419823062,0.0004679978090237071,0.03800425260895522,56577.22187659518,181102670832.66296
59.72536055420135,1.0,1.6743306205619138e-05,1.6743306205619138e-05,0.17312513229544269,0.004019516765297751,65.0291419823062,0.0005159741252016082,0.0399047181665541,53882.7269280951,156440321535.8124
62.71202606809409,1.0,1.594590483991345e-05,1.594590483991345e-05,0.18178254109828573,0.004220519354382732,65.0291419823062,0.0005688686843063375,0.041900219650073775,51316.557528052115,135136462039.48975
65.84804473463589,1.0,1.5186479781289577e-05,1.5186479781289577e-05,0.19087287795834232,0.004431573410640997,65.02914198230617,0.0006271856749754209,0.04399550948829645,48872.60216143224,116733737141.8658
69.14088520543936,1.0,1.446322240492994e-05,1.446322240492994e-05,0.20041779215971062,0.00465318157432607,65.02914198230617,0.0006914809722282908,0.0461955777630721,46545.040374618715,100837073736.05922
