case,h,time_ratio,radial_ratio,axial_ratio,speed_ratio,volume_ratio,energy_ratio,slenderness_ratio
h_zero_limit,0,3.981071705534969e-08,0.00019952623149688788,0.00019952623149688788,5011.872336272725,7.943282347242804e-12,0.00019952623149688788,1.0
h_zero_limit,0,3.548133892335753e-08,0.00018836490894898002,0.00018836490894898002,5308.8444423098845,6.683439175686142e-12,0.00018836490894898002,1.0
h_zero_limit,0,3.162277660168379e-08,0.00017782794100389227,0.00017782794100389227,5623.413251903491,5.6234132519034904e-12,0.00017782794100389227,1.0
h_zero_limit,0,2.818382931264449e-08,0.00016788040181225588,0.00016788040181225588,5956.62143529011,4.731512589614793e-12,0.00016788040181225588,1.0
h_zero_limit,0,2.511886431509577e-08,0.00015848931924611126,0.00015848931924611126,6309.573444801937,3.9810717055349655e-12,0.00015848931924611126,1.0
h_zero_limit,0,2.2387211385683378e-08,0.00014962356560944327,0.00014962356560944327,6683.439175686149,3.3496543915782727e-12,0.00014962356560944327,1.0
h_zero_limit,0,1.9952623149688786e-08,0.0001412537544622754,0.0001412537544622754,7079.457843841381,2.8183829312644517e-12,0.0001412537544622754,1.0
h_zero_limit,0,1.7782794100389228e-08,0.0001333521432163324,0.0001333521432163324,7498.942093324558,2.3713737056616554e-12,0.0001333521432163324,1.0
h_zero_limit,0,1.584893192461111e-08,0.0001258925411794166,0.0001258925411794166,7943.282347242822,1.9952623149688747e-12,0.0001258925411794166,1.0
h_zero_limit,0,1.4125375446227526e-08,0.00011885022274370177,0.00011885022274370177,8413.951416451957,1.6788040181225572e-12,0.00011885022274370177,1.0
h_zero_limit,0,1.2589254117941661e-08,0.00011220184543019629,0.00011220184543019629,8912.509381337459,1.4125375446227524e-12,0.00011220184543019629,1.0
h_zero_limit,0,1.122018454301963e-08,0.00010592537251772886,0.00010592537251772886,9440.608762859236,1.1885022274370178e-12,0.00010592537251772886,1.0
h_zero_limit,0,1e-08,0.0001,0.0001,10000.0,1e-12,0.0001,1.0
h_zero_limit,0,8.912509381337441e-09,9.440608762859227e-05,9.440608762859227e-05,10592.537251772897,8.413951416451931e-13,9.440608762859227e-05,1.0
h_zero_limit,0,7.943282347242822e-09,8.912509381337459e-05,8.912509381337459e-05,11220.18454301963,7.079457843841388e-13,8.912509381337459e-05,1.0
h_zero_limit,0,7.0794578438413736e-09,8.413951416451947e-05,8.413951416451947e-05,11885.022274370189,5.956621435290097e-13,8.413951416451947e-05,1.0
h_zero_limit,0,6.309573444801917e-09,7.943282347242806e-05,7.943282347242806e-05,12589.254117941688,5.011872336272705e-13,7.943282347242806e-05,1.0
h_zero_limit,0,5.623413251903491e-09,7.498942093324559e-05,7.498942093324559e-05,13335.21432163324,4.2169650342858226e-13,7.498942093324559e-05,1.0
h_zero_limit,0,5.011872336272715e-09,7.079457843841373e-05,7.079457843841373e-05,14125.375446227554,3.548133892335746e-13,7.079457843841373e-05,1.0
h_zero_limit,0,4.466835921509635e-09,6.683439175686149e-05,6.683439175686149e-05,14962.356560944327,2.9853826189179634e-13,6.683439175686149e-05,1.0
h_zero_limit,0,3.981071705534969e-09,6.309573444801929e-05,6.309573444801929e-05,15848.931924611143,2.511886431509577e-13,6.309573444801929e-05,1.0
h_zero_limit,0,3.548133892335746e-09,5.9566214352900974e-05,5.9566214352900974e-05,16788.040181225624,2.113489039836639e-13,5.9566214352900974e-05,1.0
h_zero_limit,0,3.1622776601683795e-09,5.623413251903491e-05,5.623413251903491e-05,17782.794100389227,1.778279410038923e-13,5.623413251903491e-05,1.0
h_zero_limit,0,2.8183829312644493e-09,5.308844442309879e-05,5.308844442309879e-05,18836.49089489802,1.49623565609443e-13,5.308844442309879e-05,1.0
h_zero_limit,0,2.511886431509582e-09,5.0118723362727245e-05,5.0118723362727245e-05,19952.62314968879,1.2589254117941686e-13,5.0118723362727245e-05,1.0
h_zero_limit,0,2.2387211385683377e-09,4.731512589614803e-05,4.731512589614803e-05,21134.89039836648,1.0592537251772875e-13,4.731512589614803e-05,1.0
h_zero_limit,0,1.9952623149688745e-09,4.466835921509625e-05,4.466835921509625e-05,22387.211385683426,8.912509381337421e-14,4.466835921509625e-05,1.0
h_zero_limit,0,1.7782794100389228e-09,4.216965034285822e-05,4.216965034285822e-05,23713.737056616552,7.498942093324558e-14,4.216965034285822e-05,1.0
h_zero_limit,0,1.584893192461111e-09,3.9810717055349695e-05,3.9810717055349695e-05,25118.86431509582,6.309573444801918e-14,3.9810717055349695e-05,1.0
h_zero_limit,0,1.4125375446227555e-09,3.758374042884443e-05,3.758374042884443e-05,26607.250597988084,5.30884444230989e-14,3.758374042884443e-05,1.0
h_zero_limit,0,1.2589254117941663e-09,3.5481338923357534e-05,3.5481338923357534e-05,28183.82931264455,4.466835921509626e-14,3.5481338923357534e-05,1.0
h_zero_limit,0,1.1220184543019608e-09,3.3496543915782727e-05,3.3496543915782727e-05,29853.826189179632,3.758374042884428e-14,3.3496543915782727e-05,1.0
h_zero_limit,0,1e-09,3.1622776601683795e-05,3.1622776601683795e-05,31622.776601683792,3.1622776601683796e-14,3.1622776601683795e-05,1.0
h_zero_limit,0,8.912509381337441e-10,2.9853826189179574e-05,2.9853826189179574e-05,33496.54391578279,2.6607250597988032e-14,2.9853826189179574e-05,1.0
h_zero_limit,0,7.943282347242822e-10,2.818382931264455e-05,2.818382931264455e-05,35481.33892335753,2.2387211385683424e-14,2.818382931264455e-05,1.0
h_zero_limit,0,7.079457843841373e-10,2.6607250597988085e-05,2.6607250597988085e-05,37583.74042884443,1.883649089489798e-14,2.6607250597988085e-05,1.0
h_zero_limit,0,6.309573444801917e-10,2.511886431509577e-05,2.511886431509577e-05,39810.71705534978,1.5848931924611075e-14,2.511886431509577e-05,1.0
h_zero_limit,0,5.623413251903491e-10,2.3713737056616554e-05,2.3713737056616554e-05,42169.65034285822,1.333521432163324e-14,2.3713737056616554e-05,1.0
h_zero_limit,0,5.011872336272714e-10,2.2387211385683376e-05,2.2387211385683376e-05,44668.35921509635,1.1220184543019605e-14,2.2387211385683376e-05,1.0
h_zero_limit,0,4.4668359215096347e-10,2.1134890398366476e-05,2.1134890398366476e-05,47315.12589614803,9.440608762859245e-15,2.1134890398366476e-05,1.0
h_zero_limit,0,3.9810717055349694e-10,1.995262314968879e-05,1.995262314968879e-05,50118.72336272725,7.943282347242806e-15,1.995262314968879e-05,1.0
h_zero_limit,0,3.548133892335746e-10,1.8836490894897984e-05,1.8836490894897984e-05,53088.444423098896,6.683439175686122e-15,1.8836490894897984e-05,1.0
h_zero_limit,0,3.1622776601683795e-10,1.778279410038923e-05,1.778279410038923e-05,56234.13251903491,5.623413251903491e-15,1.778279410038923e-05,1.0
h_zero_limit,0,2.8183829312644494e-10,1.678804018122559e-05,1.678804018122559e-05,59566.214352901094,4.7315125896147935e-15,1.678804018122559e-05,1.0
h_zero_limit,0,2.5118864315095717e-10,1.5848931924611107e-05,1.5848931924611107e-05,63095.73444801943,3.981071705534952e-15,1.5848931924611107e-05,1.0
h_zero_limit,0,2.2387211385683377e-10,1.4962356560944327e-05,1.4962356560944327e-05,66834.39175686149,3.3496543915782723e-15,1.4962356560944327e-05,1.0
h_zero_limit,0,1.9952623149688748e-10,1.4125375446227526e-05,1.4125375446227526e-05,70794.57843841388,2.8183829312644436e-15,1.4125375446227526e-05,1.0
h_zero_limit,0,1.778279410038923e-10,1.333521432163324e-05,1.333521432163324e-05,74989.42093324558,2.3713737056616553e-15,1.333521432163324e-05,1.0
h_zero_limit,0,1.584893192461111e-10,1.2589254117941661e-05,1.2589254117941661e-05,79432.82347242821,1.9952623149688747e-15,1.2589254117941661e-05,1.0
h_zero_limit,0,1.4125375446227496e-10,1.1885022274370164e-05,1.1885022274370164e-05,84139.51416451964,1.678804018122552e-15,1.1885022274370164e-05,1.0
h_zero_limit,0,1.2589254117941662e-10,1.122018454301963e-05,1.122018454301963e-05,89125.0938133746,1.4125375446227526e-15,1.122018454301963e-05,1.0
h_zero_limit,0,1.1220184543019607e-10,1.0592537251772876e-05,1.0592537251772876e-05,94406.08762859245,1.188502227437014e-15,1.0592537251772876e-05,1.0
h_zero_limit,0,1e-10,1e-05,1e-05,100000.0,1e-15,1e-05,1.0
h_zero_limit,0,8.912509381337441e-11,9.440608762859227e-06,9.440608762859227e-06,105925.37251772897,8.413951416451931e-16,9.440608762859227e-06,1.0
h_zero_limit,0,7.94328234724279e-11,8.91250938133744e-06,8.91250938133744e-06,112201.84543019652,7.079457843841345e-16,8.91250938133744e-06,1.0
h_zero_limit,0,7.079457843841374e-11,8.413951416451948e-06,8.413951416451948e-06,118850.22274370189,5.956621435290098e-16,8.413951416451948e-06,1.0
h_zero_limit,0,6.309573444801917e-11,7.943282347242805e-06,7.943282347242805e-06,125892.54117941688,5.011872336272704e-16,7.943282347242805e-06,1.0
h_zero_limit,0,5.6234132519034906e-11,7.498942093324558e-06,7.498942093324558e-06,133352.1432163324,4.2169650342858224e-16,7.498942093324558e-06,1.0
h_zero_limit,0,5.011872336272715e-11,7.079457843841373e-06,7.079457843841373e-06,141253.75446227554,3.548133892335746e-16,7.079457843841373e-06,1.0
h_zero_limit,0,4.4668359215096165e-11,6.683439175686135e-06,6.683439175686135e-06,149623.56560944358,2.985382618917945e-16,6.683439175686135e-06,1.0
h_zero_limit,0,3.9810717055349695e-11,6.3095734448019305e-06,6.3095734448019305e-06,158489.3192461114,2.511886431509577e-16,6.3095734448019305e-06,1.0
h_zero_limit,0,3.548133892335746e-11,5.9566214352900976e-06,5.9566214352900976e-06,167880.40181225623,2.113489039836639e-16,5.9566214352900976e-06,1.0
