speed_ratio,radius_ratio,h
3411546.4546677577,2.9312219935676896e-07,0
3596449.1606611856,2.780520328045335e-07,0
3791373.4246600415,2.637566622943945e-07,0
3996862.405967041,2.5019625356806605e-07,0
4213488.702623655,2.3733302034898537e-07,0
4441855.946962907,2.2513111905030236e-07,0
4682600.487639664,2.1355654889620203e-07,0
4936393.162825441,2.025770571782478e-07,0
5203941.169508743,1.9216204938273768e-07,0
5485990.034109779,1.8228250393864815e-07,0
5783325.689900702,1.7291089134860221e-07,0
6096776.6670201225,1.6402109747752374e-07,0
6427216.40118442,1.555883507852198e-07,0
6775565.667529096,1.475891533001226e-07,0
7142795.146362106,1.4000121514184964e-07,0
7529928.127978693,1.328033924101261e-07,0
7938043.3640747005,1.2597562826699994e-07,0
8368278.073703906,1.194988970481698e-07,0
8821831.11215548,1.1335515124769429e-07,0
9299966.311581733,1.075272712283535e-07,0
9804016.002684819,1.0199901751753077e-07,0
10335384.727275684,9.675498555568448e-08,0
10895553.152050206,9.178056277132013e-08,0
11486082.19448865,8.706188786284576e-08,0
12108617.3723749,8.258581217385257e-08,0
12764893.389055759,7.833986305419284e-08,0
13456738.967217112,7.431220910475933e-08,0
14186081.944646353,7.04916272091172e-08,0
14954954.646180462,6.686747126012873e-08,0
15765499.546808802,6.342964249441846e-08,0
16619975.24171089,6.016856135202391e-08,0
17520762.739864796,5.707514078281037e-08,0
18470372.098763354,5.414076092527408e-08,0
19471449.418725956,5.1357245087172995e-08,0
20526784.21629566,4.871683696105335e-08,0
21639317.197267696,4.6212179011187384e-08,0
22812148.45100902,4.383629197169137e-08,0
24048546.088902526,4.1582555398700846e-08,0
25351955.350987047,3.944468922240618e-08,0
26726008.206168935,3.7416736247546986e-08,0
28174533.472756416,3.549304555360099e-08,0
29701567.487517387,3.3668256748411296e-08,0
31311365.352990977,3.19372850313752e-08,0
33008412.794392593,3.0295307024574004e-08,0
34797438.659152634,2.8737747332359252e-08,0
36683428.0939188,2.726026579194693e-08,0
38671636.435739905,2.5858745379489867e-08,0
40767603.856139116,2.4529280737931107e-08,0
42977170.79888269,2.326816729466981e-08,0
45306494.254461646,2.2071890938715074e-08,0
47762064.91663548,2.0937118228565136e-08,0
50350725.268844984,1.9860687103523445e-08,0
53079688.65089203,1.8839598072570725e-08,0
55956559.35901609,1.7871005856239702e-08,0
58989353.83537657,1.6952211458201936e-08,0
62186523.00598565,1.6080654644475737e-08,0
65556975.82933689,1.5253906809296354e-08,0
69110104.12134783,1.446966420777109e-08,0
72855808.72579202,1.372574153646018e-08,0
76804527.1031444,1.3020065843997091e-08,0
80967262.41471736,1.2350670754779406e-08,0
85355614.18312925,1.1715690989634437e-08,0
89981810.6145444,1.111335716819152e-08,0
94858742.67274705,1.0541990878478097e-08,0
100000000.0,9.999999999999982e-09,0
1.0,1.0,0.01
1.0541990878478096,0.9495696544501897,0.01
1.1113357168191536,0.9016825286526529,0.01
1.171569098963443,0.856210367156473,0.01
1.2350670754779418,0.8130313824774422,0.01
1.302006584399708,0.7720299289162649,0.01
1.372574153646014,0.7330961928262222,0.01
1.4469664207771071,0.6961258985007456,0.01
1.525390680929636,0.6610200288931808,0.01
1.6080654644475714,0.6276845604207523,0.01
