factor,radius_vary_r0_m,radius_vary_u0_introductory_ceiling_m,air_kn_crossing_speed_m_s
3.0129477247269905,1.0050111816778895e-09,1.3175751218505464e-09,447.68911214368336
3.1318310052438445,1.0446663755776818e-09,1.3685244632207118e-09,465.35378978363235
3.255405118685032,1.0858862629176053e-09,1.4214439657930797e-09,483.715470829871
3.3838551534282333,1.1287325825348925e-09,1.476409813774514e-09,502.80165727016856
3.5173735009693803,1.1732695093248075e-09,1.5335011373406495e-09,522.6409362510223
3.6561601440851956,1.2195637503613235e-09,1.592800126553632e-09,543.2630228952742
3.800422956365884,1.267684644810472e-09,1.6543921496849163e-09,564.6988048091954
3.9503780135666426,1.3177042677860303e-09,1.7183658761135336e-09,586.980388345712
4.106249917244298,1.3696975383030809e-09,1.7848134039766824e-09,610.141146693061
4.268272131163821,1.4237423314911479e-09,1.8538303927564463e-09,634.2157698608947
4.436687330978611,1.4799195952349844e-09,1.925516200993534e-09,659.2403166387236
4.611747767708256,1.538313471417702e-09,1.9999740293262527e-09,685.2522686044957
4.793715645558216,1.5990114219478517e-09,2.0773110690606497e-09,712.2905862642224
4.9828635146473035,1.6621043597592115e-09,2.1576386564857553e-09,740.3957674067319
5.17947467923121,1.7276867849794972e-09,2.241072433156015e-09,769.6099077609524
5.383843622033487,1.7958569264719415e-09,2.3277325123716612e-09,799.9767640465808
5.596276445319552,1.866716888961747e-09,2.4177436520968e-09,831.5418195125638
5.817091329374358,1.9403728059677728e-09,2.511235434563993e-09,864.3523520615687
6.046619009070436,2.0169349987685265e-09,2.6083424528239885e-09,898.4575050624721
6.285203269240097,2.09651814164054e-09,2.709204504509189e-09,933.9083609569237
6.533201459593774,2.1792414336166433e-09,2.8139667930897197e-09,970.7580177702484
6.79098502995571,2.265228777021372e-09,2.922780136911872e-09,1009.0616686412648
7.058940086618741,2.354608963050945e-09,3.0358011863199023e-09,1048.8766844901545
7.337467970651377,2.447515864675747e-09,3.1531926491736693e-09,1090.2626999481988
7.626985859023444,2.5440886371542553e-09,3.2751235250868503e-09,1133.281702678075
7.9279273894505975,2.6444719264587358e-09,3.4017693487228903e-09,1177.9981262185133
8.240743309893658,2.7488160859249023e-09,3.533312442499e-09,1224.4789464923713
8.565902153685496,2.857277401450004e-09,3.6699421790619487e-09,1272.7937821226592
8.90389094129673,2.970018325576666e-09,3.811855253913558e-09,1323.0149987067946
9.25521590979135,3.087207720813093e-09,3.959255968578342e-09,1375.2178172052525
9.620403271064756,3.2090211125540574e-09,4.1123565247209355e-09,1429.480426606948
10.0,3.33564095198152e-09,4.271377329636831e-09,1485.8841010401195
