h,speed_m_s,radius_m,r0_m,u0_m_s
0.0,24898.360307257484,4.016328736750252e-08,0.001,1.0
0.0,25871.577440238605,3.8652455665292324e-08,0.001,1.0
0.0,26882.83529462621,3.719845726986607e-08,0.001,1.0
0.0,27933.62079089898,3.579915426953202e-08,0.001,1.0
0.0,29025.47896968736,3.445248917491926e-08,0.001,1.0
0.0,30160.01526355122,3.315648189371154e-08,0.001,1.0
0.0,31338.897857554926,3.19092268191853e-08,0.001,1.0
0.0,32563.860142112582,3.070889002826692e-08,0.001,1.0
0.0,33836.70326170812,2.955370658499309e-08,0.001,1.0
0.0,35159.29876323975,2.8441977945405832e-08,0.001,1.0
0.0,36533.59134788087,2.7372069460069804e-08,0.001,1.0
0.0,37961.60173050526,2.6342407970536647e-08,0.001,1.0
0.0,39445.42961088036,2.5351479496224505e-08,0.001,1.0
0.0,40987.25676099666,2.439782700831045e-08,0.001,1.0
0.0,42589.35023307446,2.348004828736294e-08,0.001,1.0
0.0,44254.0656929627,2.259679386156422e-08,0.001,1.0
0.0,45983.850883833664,2.17467650224911e-08,0.001,1.0
0.0,47781.24922526376,2.0928711915536554e-08,0.001,1.0
0.0,49648.90355299525,2.014143170216438e-08,0.001,1.0
0.0,51589.56000487475,1.9383766791294753e-08,0.001,1.0
0.0,53606.072058685255,1.8654603137220164e-08,0.001,1.0
0.0,55701.40472780578,1.7952868601549034e-08,0.001,1.0
0.0,57878.638920870886,1.727753137676848e-08,0.001,1.0
0.0,60140.97597183715,1.662759846910834e-08,0.001,1.0
0.0,62491.742347120795,1.6002114238475436e-08,0.001,1.0
0.0,64934.394536724314,1.540015899331192e-08,0.001,1.0
0.0,67472.52413654666,1.4820847638310708e-08,0.001,1.0
0.0,70109.8631293489,1.426332837300015e-08,0.001,1.0
0.0,72850.28937213853,1.372678143928483e-08,0.001,1.0
0.0,75697.83229804484,1.321041791609966e-08,0.001,1.0
0.0,78656.67884106442,1.2713478559406555e-08,0.001,1.0
0.0,81731.1795923932,1.2235232685826449e-08,0.001,1.0
0.0,84925.85519739214,1.177497709826662e-08,0.001,1.0
0.0,88245.40300259778,1.1332035051962566e-08,0.001,1.0
0.0,91694.70396254549,1.0905755259414648e-08,0.001,1.0
0.0,95278.82981656687,1.049551093275626e-08,0.001,1.0
0.0,99003.05054610792,1.010069886214544e-08,0.001,1.0
0.0,102872.84212353895,9.720738528824846e-09,0.001,1.0
0.0,106893.8945638437,9.355071251545965e-09,0.001,1.0
0.0,111072.12029103292,9.003159365102467e-09,0.001,1.0
0.0,115413.66283157784,8.664485429764857e-09,0.001,1.0
0.0,119924.90584765113,8.338551470454098e-09,0.001,1.0
0.0,124612.48252345582,8.02487824453517e-09,0.001,1.0
0.0,129483.28531844074,7.723004537154593e-09,0.001,1.0
0.0,134544.47610174937,7.43248648308496e-09,0.001,1.0
0.0,139803.49668279613,7.152896914080247e-09,0.001,1.0
0.0,145268.07975346153,6.883824730781376e-09,0.001,1.0
0.0,150946.26025798733,6.624874298249368e-09,0.001,1.0
0.0,156846.38720729816,6.375664864236472e-09,0.001,1.0
0.0,162977.13595511153,6.1358299993406956e-09,0.001,1.0
0.0,169347.52095389698,5.905017058219817e-09,0.001,1.0
0.0,175966.9090094294,5.682886661073385e-09,0.001,1.0
0.0,182845.03305343678,5.469112194629578e-09,0.001,1.0
0.0,189992.0064545818,5.26337933190391e-09,0.001,1.0
0.0,197418.3378888314,5.065385570022939e-09,0.001,1.0
0.0,205134.94679106714,4.874839785434095e-09,0.001,1.0
0.0,213153.1794106684,4.691461805846978e-09,0.001,1.0
0.0,221484.8254946635,4.514981998277324e-09,0.001,1.0
0.0,230142.13562298944,4.345140872587379e-09,0.001,1.0
0.0,239137.83922134535,4.181688699940133e-09,0.001,1.0
0.0,248485.16327812057,4.024385145606198e-09,0.001,1.0
0.0,258197.85179292966,3.872998915583478e-09,0.001,1.0
0.0,268290.1859853359,3.727307416510041e-09,0.001,1.0
0.0,278777.00529349386,3.5870964283700854e-09,0.001,1.0
0.0,289673.7291935693,3.4521597895119054e-09,0.001,1.0
0.0,300996.3798720375,3.3222990935144463e-09,0.001,1.0
