group,eta_decimal,Y,radial_degree,Phi,U,p1,Sq_margin,angular_relative,axial_relative,pressure_relative
chi,-0.0045333247501575571328454731360904240621722620301320593708182981288400862166936976,2,18,0.5977040191617629,0.0018667009993697714,1.1352554632165623,4.417455812283253e+38,3.6068383412749265e-34,1.8121789243364116e-82,1.056723554742221e-24
chi,-0.0045333247501575571328454731360904240621722620301320593708182981288400862166936976,3,18,0.441984163691038,0.0018667009993697714,1.932725558405862,4.417455812283253e+38,7.208564819567864e-31,6.596717632458925e-82,2.843046392056905e-21
chi,-0.0045333247501575571328454731360904240621722620301320593708182981288400862166936976,4,18,0.3118751739415276,0.0018667009993697714,3.036120484050053,4.417455812283253e+38,1.8120574835479778e-28,2.149346544571242e-82,1.0082339946227577e-18
chi,-0.0045333247501575571328454731360904240621722620301320593708182981288400862166936976,4.1,18,0.3001509995937039,0.0018667009993697714,3.172542266154071,4.417455812283253e+38,2.93658488312027e-28,2.8517804859715173e-83,1.6969778414141022e-18
chi,-0.0044888797204253161585820395435972980048597584358490420771179008743166347718348025,0,18,1.0,0.0020444811182987353,0.0,3.754837237298689e+38,6.827737186508533e-82,4.087841689773243e-82,8.184773762629227e-82
chi,-0.0044888797204253161585820395435972980048597584358490420771179008743166347718348025,1,18,0.8128976834999437,0.0020444811182987353,0.42965229352530543,3.754837237298689e+38,5.427218240268953e-41,2.8218388817813565e-82,1.1752962268594407e-31
chi,-0.0044888797204253161585820395435972980048597584358490420771179008743166347718348025,2,18,0.6499163188011395,0.0020444811182987353,0.9338113548742015,3.754837237298689e+38,1.7794904102885587e-35,7.596398210528688e-82,4.8012492366251594e-26
chi,-0.0044888797204253161585820395435972980048597584358490420771179008743166347718348025,3,18,0.5086920575791211,0.0020444811182987353,1.5461580315965182,3.754837237298689e+38,3.360011779216063e-32,4.2468773131857535e-82,1.1537649580159368e-22
chi,-0.0044888797204253161585820395435972980048597584358490420771179008743166347718348025,4,18,0.38704763521655267,0.0020444811182987353,2.3260413316230424,3.754837237298689e+38,7.833008491848305e-30,6.937918552582037e-82,3.5214090421558777e-20
chi,-0.0044888797204253161585820395435972980048597584358490420771179008743166347718348025,4.1,18,0.3758815225795743,0.0020444811182987353,2.4169120181213697,3.754837237298689e+38,1.2579738558960665e-29,4.033504609242025e-82,5.821103294719024e-20
chi,-0.0044666572055591956714503227473507349762035066387075334302677022470549090494053549,0,18,1.0,0.002133371177763217,0.0,2.346773196668068e+38,3.254838935121422e-82,6.697171469758624e-82,7.712581937012755e-82
chi,-0.0044666572055591956714503227473507349762035066387075334302677022470549090494053549,1,18,0.8801011904548941,0.002133371177763217,0.26111421920010586,2.346773196668068e+38,1.0615015197092602e-44,8.954736815663789e-82,2.126322107225063e-35
chi,-0.0044666572055591956714503227473507349762035066387075334302677022470549090494053549,2,18,0.7699866565460849,0.002133371177763217,0.5476781884223338,2.346773196668068e+38,3.180606568484729e-39,1.3282723258251753e-81,7.26456669067436e-30
chi,-0.0044666572055591956714503227473507349762035066387075334302677022470549090494053549,3,18,0.6690525253964011,0.002133371177763217,0.8657407499080277,2.346773196668068e+38,5.409730116481825e-36,5.446025943015917e-82,1.4185425590500942e-26
chi,-0.0044666572055591956714503227473507349762035066387075334302677022470549090494053549,4,18,0.5767248659927665,0.002133371177763217,1.2235782171614709,2.346773196668068e+38,1.1131774389739196e-33,6.79730215171618e-82,3.378071378233725e-24
chi,-0.0044666572055591956714503227473507349762035066387075334302677022470549090494053549,4.1,18,0.5679442225391277,0.002133371177763217,1.261960340080527,2.346773196668068e+38,1.7630188820555234e-33,5.302502588226701e-82,5.43149153911107e-24
chi,-0.0044499903194096053061015351501658127047113177908514019451300532766086147575832692,0,18,1.0,0.0022000387223615786,0.0,2.76090988481601e+37,8.23392305521717e-82,7.208125288842803e-82,7.342373452017657e-82
chi,-0.0044499903194096053061015351501658127047113177908514019451300532766086147575832692,1,18,0.9853660300086045,0.0022000387223615786,0.029557006214570927,2.76090988481601e+37,1.7673219199770997e-61,3.803972873101074e-82,3.168797390807638e-52
chi,-0.0044499903194096053061015351501658127047113177908514019451300532766086147575832692,2,18,0.9708751788296719,0.0022000387223615786,0.0594088421179138,2.76090988481601e+37,4.702077402588182e-56,6.258472033976148e-82,8.554171659185174e-47
chi,-0.0044499903194096053061015351501658127047113177908514019451300532766086147575832692,3,18,0.9565263956666404,0.0022000387223615786,0.08956217793882637,2.76090988481601e+37,7.053405888481329e-53,1.674426024987024e-82,1.3020531816262589e-43
chi,-0.0044499903194096053061015351501658127047113177908514019451300532766086147575832692,4,18,0.9423186358980432,0.0022000387223615786,0.12002390021581265,2.76090988481601e+37,1.2699754157577857e-50,3.876509490984019e-82,2.3790281994518e-41
chi,-0.0044499903194096053061015351501658127047113177908514019451300532766086147575832692,4.1,18,0.9409055761734597,0.0022000387223615786,0.12308730550247751,2.76090988481601e+37,1.9837029023863292e-50,2.6481822254684957e-82,3.7215183870707366e-41
