peak_mach_exterior,radius_over_a,radius_m,temperature_ratio,density_ratio,pressure_ratio,density_deficit,pressure_deficit,incompressible_pressure_ratio,swirl_over_exterior_sound_speed,local_mach,mean_free_path_m,kn_temperature,kn_density,kn_pressure,shear_rate_s_inv,collision_shear_ratio,temperature_K,pressure_Pa
0.3,3.0524999999999998,0.0030524999999999997,0.9999956054251704,0.9999890135991366,0.9999846190725876,1.0986400863359501e-05,1.5380927412347942e-05,0.9999846189880965,0.014308664697330109,0.014308696137682597,6.730065907854233e-08,1.8056091964283624e-09,4.514022991070907e-09,6.3196321874992685e-09,15067.924702809958,2.1795609166052787e-06,296.1486985466642,101298.44191205312
0.3,3.05625,0.00305625,0.9999957049509554,0.9999892624119774,0.9999849674090512,1.0737588022653616e-05,1.50325909488227e-05,0.9999849673283437,0.014163087632629565,0.014163118048305546,6.730064415201267e-08,1.7668841943942711e-09,4.417210485985679e-09,6.18409468037995e-09,14932.945521677193,2.1600357204136926e-06,296.1487280212254,101298.47719853689
0.3,3.06,0.0030600000000000002,0.9999958023407988,0.9999895058850351,0.9999853082698845,1.0494114964926505e-05,1.4691730115426698e-05,0.9999853081927957,0.01401877343003462,0.014018802853143891,6.730062954582858e-08,1.7289385114829946e-09,4.322346278707487e-09,6.051284790190482e-09,14798.922818411958,2.1406489008363826e-06,296.1487568632275,101298.5117277393
0.3,3.0637499999999998,0.0030637499999999996,0.999995897637717,0.9999897441258475,0.9999856418056379,1.0255874152470898e-05,1.4358194362171548e-05,0.9999856417320094,0.013875713743277398,0.013875742204967323,6.730061525353832e-08,1.6917576410094765e-09,4.229394102523692e-09,5.921151743533168e-09,14665.85267272927,2.1213998901100863e-06,296.1487850854099,101298.54551491112
0.3,3.0675,0.0030675,0.9999959908839249,0.9999899772399491,0.9999859681640563,1.0022760050950831e-05,1.4031835943673446e-05,0.9999859680937371,0.013733900251153147,0.013733927781636063,6.730060126881039e-08,1.6553273204017337e-09,4.138318301004335e-09,5.793645621406068e-09,14533.731147676988,2.1022881180796423e-06,296.14881270027433,101298.5785750189
0.3,3.07125,0.00307125,0.9999960821208494,0.9999902053309043,0.9999862874901281,9.794669095660453e-06,1.3712509871920057e-05,0.9999862874229729,0.013593324657815943,0.01359335128639582,6.730058758543144e-08,1.6196335276402937e-09,4.049083819100735e-09,5.6687173467410286e-09,14402.554290111235,2.0833130122662807e-06,296.14883972008954,101298.61092274997
0.3,3.0749999999999997,0.0030749999999999996,0.999996171389143,0.9999904285003417,0.9999865999261303,9.571499658274979e-06,1.3400073869726268e-05,0.9999865998620006,0.013453978693068688,0.01345400444816709,6.730057419730434e-08,1.584662477738389e-09,3.961656194345973e-09,5.546318672084362e-09,14272.318131168058,2.064473997935388e-06,296.14886615689466,101298.642572517
0.3,3.07875,0.00307875,0.9999962587286966,0.9999906468479859,0.9999869056116751,9.3531520140888e-06,1.309438832487177e-05,0.9999869055504379,0.01331585411264774,0.01331587902182907,6.730056109844612e-08,1.5504006192627325e-09,3.8760015481568314e-09,5.426402167419564e-09,14143.018686731677,2.045770498163779e-06,296.14889202250345,101298.6735384627
0.3,3.0825,0.0030825,0.9999963441786524,0.9999908604716903,0.9999872046837551,9.139528309734995e-06,1.2795316244912475e-05,0.9999872046252832,0.013178942698502213,0.013178966788498293,6.730054828298618e-08,1.5168346308946384e-09,3.792086577236597e-09,5.308921208131235e-09,14014.651957899217,2.0272019339064866e-06,296.1489173285079,101298.7038344644
0.3,3.0862499999999997,0.0030862499999999996,0.9999964277774168,0.9999910694674686,0.9999874972767874,8.930532531380271e-06,1.2502723212657333e-05,0.999987497220959,0.01304323625906766,0.013043259555801637,6.73005357451642e-08,1.4839514180311513e-09,3.709878545077879e-09,5.19382996310903e-09,13887.213931441653,2.008767724062992e-06,296.148942086282,101298.73347413856
