time,kx,ky,Bx,By,k2,damping_integral,vorticity_amplitude,speed,energy,qxy,production,dissipation,energy_rate,logarithmic_speed_rate,wavelength,pressure_amplitude,heat_reference_speed,inviscid_speed
8.46,1.0,-4.460000000000001,0.6541495484922157,0.14667030235251471,20.891600000000007,59.36551200000002,3.0641772886277976,0.6703907885589926,0.11235595234618698,0.047972156030557135,-0.047972156030557135,0.023472956140356004,-0.07144511217091314,-0.3179409309387505,1.3746559536144545,0.01404107893627244,0.487190530184153,0.9020666140723403
8.47,1.0,-4.470000000000001,0.6521427553754169,0.14589323386474648,20.980900000000005,59.57487433333335,3.0609713503928604,0.6682626796972538,0.11164375226903862,0.04757160776159292,-0.04757160776159292,0.02342386401981473,-0.07099547178140765,-0.3179554177394678,1.371727392963461,0.013907242669737375,0.48677659418122005,0.9001448555526169
8.48,1.0,-4.48,0.6501415654199352,0.14512088513837837,21.070400000000003,59.785130666666674,3.057755098219688,0.6661412210560388,0.11093603159750759,0.04717455971949596,-0.04717455971949596,0.023374665601721238,-0.0705492253212172,-0.3179725482572709,1.3688109734762217,0.013774858107902873,0.4863630098743976,0.8982310642180279
8.49,1.0,-4.49,0.6481459515650142,0.14435321861136174,21.160100000000003,59.996283000000005,3.054528541138276,0.6640263746671342,0.11023275656339432,0.04678097711916679,-0.04678097711916679,0.02332536152157081,-0.07010633864073759,-0.3179923138383089,1.3659066218230478,0.013643907033649342,0.485949776964871,0.8963251919487045
8.5,1.0,-4.5,0.6461558869561682,0.14359019710137072,21.25,60.20833333333333,3.051291688404128,0.6619181029037678,0.10953389373793075,0.04639082558312361,-0.04639082558312361,0.023275952419310283,-0.0696667780024339,-0.3180147058823529,1.3630142652459214,0.013514371491893714,0.48553689515407944,0.8944271909999159
8.51,1.0,-4.51,0.6441713449439358,0.14283178380131614,21.3401,60.42128366666665,3.0480445494984667,0.6598163684774311,0.10883941002768628,0.04600407113601764,-0.04600407113601764,0.023226438939318278,-0.06923051007533593,-0.3180397158424749,1.360133831553131,0.0133862337853446,0.4851243641437157,0.8925370139985481
8.52,1.0,-4.52,0.6421922990826385,0.14207794227492004,21.430399999999995,60.63513599999999,3.0447871341284456,0.6577211344347393,0.10814927267053011,0.04562068019923065,-0.04562068019923065,0.023176821730385284,-0.06879750192961594,-0.3180673352247275,1.3572652491139663,0.013259476470333738,0.4847121836357261,0.8906546139396235
8.53,1.0,-4.529999999999999,0.6402187231291386,0.14132863645234853,21.520899999999994,60.849892333333315,3.0415194522273463,0.6556323641543216,0.10746344923164623,0.04524061958555241,-0.04524061958555241,0.023127101445693344,-0.06836772103124575,-0.31809755558782393,1.3544084468534674,0.013134082352722105,0.48430035333231036,0.8887799441828554
8.540000000000001,1.0,-4.540000000000001,0.638250591041602,0.1405838306259035,21.61160000000001,61.06555466666669,3.038241513954777,0.6535500213437431,0.10678190759960175,0.04486385649393768,-0.04486385649393768,0.02307727874279554,-0.06794113523673323,-0.3181303685428196,1.3515633542472334,0.013010034483879345,0.4838888729359208,0.8869129584492399
8.55,1.0,-4.550000000000001,0.6362878769782607,0.13984348944577157,21.702500000000008,61.282125000000015,3.0349533296968585,0.6514740700364611,0.10610461598246795,0.0444903585043409,-0.0444903585043409,0.02302735428359512,-0.06751771278793603,-0.31816576575279343,1.348729901316286,0.012887316156735079,0.4834777421492631,0.885053610817687
8.56,1.0,-4.5600000000000005,0.6343305552961797,0.13910757791582887,21.793600000000005,61.499605333333335,3.0316549100664085,0.6494044745888097,0.10543154290399198,0.04412009357262715,-0.04412009357262715,0.02297732873432441,-0.06709742230695157,-0.3182037389325306,1.3459080186219836,0.01276591090190045,0.48306696067529514,0.8832018557216824
8.57,1.0,-4.57,0.6323786005500248,0.13837606138950215,21.884900000000002,61.71799766666667,3.0283462659031155,0.6473411996770165,0.10476265719981975,0.043753030025558845,-0.043753030025558845,0.022927202765523357,-0.0666802327910822,-0.31824427984820586,1.3430976372609968,0.012645802483858928,0.4826565282172273,0.8813576479459903
8.58,1.0,-4.58,0.6304319874908351,0.13764890556568452,21.9764,61.937304,3.025027408273709,0.645284210294251,0.10409792801376878,0.04338913655585638,-0.04338913655585638,0.022876977052017886,-0.06626611360787427,-0.3182873803170674,1.3402986888603319,0.012526974897224706,0.48224644447852205,0.8795209426233876
8.59,1.0,-4.59,0.6284906910647973,0.1369260764847053,22.068099999999998,62.15752633333333,3.0216983484721247,0.6432334717477021,0.10343732479415046,0.043028382217331865,-0.043028382217331865,0.022826652272897915,-0.06585503449022978,-0.3183330322071225,1.33751110557241,0.012409412363067534,0.48183670916289395,0.8776916952314358
8.6,1.0,-4.6,0.6265546864120229,0.13620754052435283,22.159999999999997,62.37866666666666,3.018359098019658,0.6411889496556858,0.10278081729014041,0.0426707364200944,-0.0426707364200944,0.02277622911149511,-0.0654469655315895,-0.31838122743682307,1.3347348200701992,0.012293099325302604,0.4814273219743092,0.875869861589285
8.61,1.0,-4.609999999999999,0.6246239488653288,0.13549326439594986,22.252099999999995,62.60072699999999,3.0150096686651153,0.6391506099447826,0.1021283755481969,0.04231616892582613,-0.04231616892582613,0.02272570825536032,-0.06504187718118645,-0.318431957974753,1.3319697655423952,0.012178020447144304,0.4810182826169855,0.8740553978545135
8.620000000000001,1.0,-4.620000000000001,0.6226984539490208,0.13478321514048067,22.34440000000001,62.82370933333335,3.0116500723849575,0.6371184188470036,0.10147996990852648,0.04196464984312778,-0.04196464984312778,0.0226750903962408,-0.06463974023936858,-0.31848521583931544,1.3292158756886583,0.012064160607622545,0.4806095907953918,0.8722482605199994
