tau,heat_radius,heat_speed,heat_time_angular,heat_minus_viscosity_angular,heat_residual_magnitude,heat_normalized_angular,heat_laplacian_raw_relative_error,gaussian_force_magnitude,gaussian_force_l2,gaussian_angular_normalized
0.0012589254117941662,0.20071276286627446,7.0459840509090235,0.000569549437185318,-0.0005695494371853119,6.179952383167375e-18,5.425299350402656e-15,2.5385893387408487e-10,70517.88681315308,2379.8430378838007,1.0
0.001,0.17888543819998318,7.90572595419769,0.0008045101487883063,-0.0008045101487882975,8.782037597132586e-18,5.458002991236028e-15,2.3991031383729933e-10,99609.16269103644,2828.448751475377,1.0
0.0007943282347242813,0.15943181461420114,8.870372457742313,0.0011364010518595037,-0.001136401051859491,1.2576745200831851e-17,5.533585691535781e-15,2.3098478685312784e-10,140701.68208952507,3361.617641319939,1.0
0.000630957344480193,0.14209375434327215,9.952723885817841,0.001605209521113448,-0.0016052095211134304,1.7564075194265172e-17,5.470960321143003e-15,3.2949354356048843e-10,198746.40854302928,3995.290054500325,1.0
0.000501187233627272,0.12664119186138728,11.16714244178884,0.002267419237651171,-0.002267419237651146,2.5153490401663703e-17,5.5467224551998704e-15,3.147031524264321e-10,280736.76392596134,4748.411129030603,1.0
0.0003981071705534969,0.11286908105283706,12.529742786585333,0.0032028155400576296,-0.0032028155400575945,3.5128150388530344e-17,5.483948411824314e-15,2.0161827762876783e-10,396551.2192013154,5643.497203639601,1.0
0.00031622776601683794,0.10059467437463483,14.058605871318905,0.004524098240544597,-0.004524098240544548,4.9439619065339e-17,5.464030226207895e-15,4.664630903761235e-10,560143.4854877848,6707.308997060246,1.0
0.00025118864315095795,0.08965509790765194,15.774018861479398,0.006390460091788634,-0.0063904600917885634,7.025630077706069e-17,5.496967336306215e-15,2.1205637246168862e-10,791223.7036273474,7971.651683114457,1.0
0.00019952623149688788,0.07990519011866759,17.698744336373153,0.009026766885554469,-0.00902676688555437,9.8879238130678e-17,5.4770018648047144e-15,3.1331093275355215e-10,1117633.1875690955,9474.32578173359,1.0
0.00015848931924611126,0.07121557565501778,19.858322335930207,0.012750650068348439,-0.012750650068348298,1.4051260155412137e-16,5.5100171677883094e-15,3.3155256318195825e-10,1578698.8385577525,11260.257295054345,1.0
0.0001258925411794166,0.0634709486122693,22.281409262874064,0.018010776087022853,-0.018010776087022656,1.97758476261356e-16,5.4900042981447716e-15,5.579272599476326e-10,2229971.3811151637,13382.840876686028,1.0
0.0001,0.0565685424949238,25.000158137297877,0.02544090328869723,-0.02544090328869695,2.8102520310824275e-16,5.523097979644003e-15,3.20064419412347e-10,3149918.299259421,15905.536191376515,1.0
7.943282347242806e-05,0.050416766567459456,28.050645249414654,0.03593623933902536,-0.03593623933902497,3.885780586188048e-16,5.406493080048393e-15,4.6063441949684147e-10,4449377.860198193,18903.765192031115,1.0
6.309573444801929e-05,0.044933990500918314,31.47334887192649,0.050761298967142134,-0.050761298967141585,5.48172618408671e-16,5.399513306027757e-15,4.768447858793934e-10,6284913.277743191,22467.167037675343,1.0
5.011872336272725e-05,0.04004746118803628,35.31368638426123,0.07170225711496132,-0.07170225711496055,7.771561172376096e-16,5.4193281251354995e-15,4.099123263046067e-10,8877675.969510306,26702.278068476688,1.0
3.9810717055349695e-05,0.03569233735371207,39.62261693601677,0.10128215353015213,-0.10128215353015102,1.1102230246251565e-15,5.480842309966506e-15,4.6160630873259834e-10,12540050.615928538,31735.716962027225,1.0
3.1622776601683795e-05,0.03181082915068203,44.457317646622826,0.1430648774034873,-0.14306487740348575,1.5543122344752192e-15,5.432193640692066e-15,5.118800938674894e-10,17713292.306468733,37717.97029868009,1.0
2.511886431509577e-05,0.02835143132335764,49.88194231401553,0.20208455718096124,-0.20208455718095905,2.192690473634684e-15,5.425180687288246e-15,4.751317117523968e-10,25020690.42176451,44827.891714384634,1.0
1.9952623149688786e-05,0.025268239764376962,55.968472699967,0.28545208993433646,-0.28545208993433335,3.1086244689504383e-15,5.445089699055178e-15,2.811462174179269e-10,35342664.61312527,53278.04915385157,1.0
1.5848931924611107e-05,0.022520342394989366,62.79767368815571,0.40321188706623934,-0.40321188706623495,4.385380947269368e-15,5.438060096860395e-15,4.718119228641626e-10,49922840.69304957,63321.08009285161,1.0
1.2589254117941661e-05,0.020071276286627443,70.46016498939422,0.5695520600634457,-0.5695520600634394,6.328271240363392e-15,5.5554809508181615e-15,6.778249073136067e-10,70517886.81315306,75257.24473407194,1.0
1e-05,0.01788854381999832,79.05762361494985,0.8045138537029891,-0.8045138537029803,8.770761894538737e-15,5.45097008222358e-15,5.185480933533881e-10,99609162.69103643,89443.40299721727,1.0
7.943282347242805e-06,0.015943181461420108,88.70413307411157,1.136406285191799,-1.1364062851917867,1.2434497875801753e-14,5.470973734408361e-15,4.881195447836717e-10,140701682.08952528,106303.68369173972,1.0
6.30957344480193e-06,0.014209375434327216,99.52769719910687,1.6052169133934986,-1.605216913393481,1.7541523789077473e-14,5.4639107159648675e-15,4.335336534211365e-10,198746408.54302922,126342.16485239285,1.0
5.011872336272715e-06,0.012664119186138722,111.67193868498698,2.2674296795266904,-2.2674296795266655,2.4868995751603507e-14,5.483961856932839e-15,5.086195908887703e-10,280736763.9259618,150157.944346284,1.0
3.981071705534969e-06,0.011286908105283705,125.29800488316118,3.2028302896022307,-3.2028302896021956,3.5083047578154947e-14,5.4768820708436934e-15,5.83042281121493e-10,396551219.20131534,178463.05132292226,1.0
3.162277660168379e-06,0.010059467437463483,140.58670613740597,4.524119074834909,-4.52411907483486,4.884981308350689e-14,5.39882044166684e-15,4.824520782875652e-10,560143485.487785,212103.73401249992,1.0
2.511886431509577e-06,0.00896550979076519,157.7409150368805,6.390489521012701,-6.390489521012631,7.016609515630989e-14,5.489884219792215e-15,4.670845932253087e-10,791223703.6273485,252085.76032156523,1.0
1.9952623149688787e-06,0.007990519011866759,176.98825842290574,9.026808455447929,-9.026808455447831,9.769962616701378e-14,5.411637271867105e-15,5.828058036172479e-10,1117633187.5690958,299604.48764733446,1.0
1.584893192461111e-06,0.007121557565501774,198.5841378709476,12.750708787397222,-12.750708787397082,1.4033219031261979e-13,5.502917235915726e-15,5.352016607673704e-10,1578698838.5577555,356080.60091898416,1.0
1.2589254117941661e-06,0.006347094861226931,222.81511872791972,18.010859029902903,-18.010859029902708,1.9539925233402755e-13,5.424484529294604e-15,5.907951905470554e-10,2229971381.1151633,423202.58733932435,1.0
1e-06,0.00565685424949238,250.00273267545876,25.44102044865635,-25.44102044865607,2.8066438062523957e-13,5.515981192493091e-15,4.4070347371416574e-10,3149918299.259421,502977.21770989604,1.0
7.943282347242805e-07,0.005041676656745946,280.507744277073,35.93640483190443,-35.93640483190404,3.907985046680551e-13,5.437362286183748e-15,4.091837979558477e-10,4449377860.198192,597789.5435982861,1.0
6.30957344480193e-07,0.004493399050091831,314.7349381238811,50.761532732101045,-50.76153273210049,5.542233338928781e-13,5.4590878571166184e-15,6.090972171080011e-10,6284913277.743193,710474.2041051213,1.0
5.011872336272714e-07,0.004004746118803623,353.13849010171435,71.7025873168187,-71.70258731681791,7.815970093361102e-13,5.45027061494043e-15,5.315057283183933e-10,8877675969.51033,844400.1741154803,1.0
3.981071705534969e-07,0.0035692337353712073,396.2279940533113,101.28261995277995,-101.28261995277886,1.0942358130705543e-12,5.401893304007713e-15,5.186548968083571e-10,12540050615.92854,1003571.4877844539,1.0
