eta,Y,X,Phi,U,Pi,F_decimal,pressure_increment_decimal,log10_F,V0_over_X,angular_relative,axial_relative,pressure_relative
0.0,1.5033333333333332,0.0029361979166666664,0.9939655426214372,0.02013889797926568,-99.99999999997081,0.00009939655426214372163481959,2.918623476500389318684542e-11,-4.002628670842882,-4.455795983344362,5.337221978901506e-47,5.280428627704892e-48,3.708775226569925e-47
0.0,1.5716666666666665,0.003069661458333333,0.9936859875102031,0.020145533937173103,-99.99999999996949,0.00009936859875102031196662745,3.050444046372692470838426e-11,-4.002750834352086,-4.476547402537054,1.4159503039984587e-46,1.3928317143708077e-47,9.86713600952445e-47
0.0,1.64,0.003203125,0.9934059769217837,0.020152197999207287,-99.99999999996818,0.00009934059769217836683854127,3.18219040616831723699176e-11,-4.002873231358773,-4.497301805390909,3.60334274621339e-46,3.524305671330623e-47,2.5181039017496865e-46
0.0,1.7083333333333333,0.0033365885416666665,0.993125511118772,0.02015889017397867,-99.99999999996686,0.00009931255111187720370555469,3.313862456056211594143758e-11,-4.002995861935891,-4.518059201617985,8.826009217713788e-46,8.583610699796333e-47,6.1852113537481655e-46
0.0,1.7766666666666666,0.0034700520833333332,0.9928445903647171,0.020165610470111815,-99.99999999996554,0.00009928445903647170655176291,3.445460096377236832059581e-11,-4.003118726156314,-4.538819600932719,2.0870221080871675e-45,2.0183211124884473e-46,1.4666836601399202e-45
0.0,1.845,0.003603515625,0.9925632149241224,0.02017235889624543,-99.99999999996423,0.00009925632149241223530459736,3.576983227644506379211482e-11,-4.003241824092855,-4.559583013051933,4.776927818010282e-45,4.593979684042315e-46,3.36646787070771e-45
0.0,1.913333333333333,0.0037369791666666662,0.9922813850624453,0.020179135461032366,-99.99999999996291,0.00009922813850624453480451151,3.708431750543724098230988e-11,-4.003365155818256,-4.580349447694832,1.0608605047507038e-44,1.0146006151072054e-45,7.497174781983194e-45
0.0,1.9816666666666665,0.003870442708333333,0.9919991010460965,0.020185940173139624,-99.9999999999616,0.00009919991010460964237862172,3.839805565933526467846805e-11,-4.003488721405193,-4.601118914583012,2.2907437333349723e-44,2.1788570843843636e-45,1.62340396862302e-44
0.0,2.05,0.00400390625,0.9917163631424379,0.020192773041248377,-99.9999999999603,0.00009917163631424379702990173,3.971104574845814607475878e-11,-4.003612520926276,-4.62189142344046,4.818705036578496e-44,4.558443881097863e-45,3.4244306582012185e-44
0.0,2.118333333333333,0.004137369791666666,0.9914331716197835,0.02019963407405397,-99.99999999995897,0.00009914331716197834653175397,4.10232867848609345740805e-11,-4.003736554454046,-4.642666983993563,9.891573900421152e-44,9.306878142974548e-45,7.049017359816465e-44
