radius,delta_U,delta_E
3.0410666666666666,-37.77958391868712,0.0
3.043,-37.22950534895242,0.0
3.0449333333333337,-36.64759014397656,0.0
3.046866666666667,-36.032910339840726,0.0
3.0488,-35.38449302369694,0.0
3.0507333333333335,-34.7013225064787,0.0
3.052666666666667,-33.98234359731281,0.0
3.0546,-33.22646629234706,0.0
3.0565333333333333,-32.43257227162218,0.0
3.058466666666667,-31.59952369976291,0.0
3.0604,-30.726174955333782,0.0
3.062333333333333,-29.811388076909328,0.0
3.0642666666666667,-28.85405292035393,0.0
3.0662000000000003,-27.853113282879928,0.0
3.0681333333333334,-26.807600579338295,0.0
3.0700666666666665,-25.716677072211006,0.0
3.072,-24.579691179608677,0.0
3.0739333333333336,-23.396248039001172,0.0
3.0758666666666667,-22.16629931390825,0.0
3.0778,-20.890257220008476,0.0
3.0797333333333334,-19.56913893015754,0.0
3.081666666666667,-18.204748883440075,0.0
3.0836,-16.799908004680905,0.0
3.0855333333333332,-15.358740257582012,0.0
3.087466666666667,-13.887027906480204,0.0
3.0894000000000004,-12.392646532791154,0.0
3.0913333333333335,-10.886087658993926,0.0
3.0932666666666666,-9.381067801378789,0.0
3.0952,-7.895202468534843,0.0
3.0971333333333337,-6.450682411938391,0.0
3.099066666666667,-5.07481095978004,0.0
3.101,-3.8001197928063886,0.0
3.1029333333333335,-2.6635419153343074,0.0
3.1048666666666667,-1.7037608049313093,0.0
3.1068,-0.9554390844856059,0.0
3.1087333333333333,-0.4389641900277964,0.0
3.110666666666667,-0.14598279665624572,0.0
3.1126,-0.027278917270403227,0.0
3.114533333333333,-0.0015538549200156144,0.0
3.1164666666666667,-3.838430163758664e-06,0.0
3.1184000000000003,-4.718632734431647e-15,0.0
3.1203333333333334,0.0,0.0
3.1222666666666665,0.0,0.0
3.1242,0.0,0.0
3.1261333333333337,0.0,0.0
3.1280666666666668,0.0,0.0
3.13,0.0,0.0
3.1319333333333335,0.0,0.0
3.133866666666667,0.0,0.0
3.1358,0.0,0.0
3.1377333333333333,0.0,0.0
3.139666666666667,0.0,0.0
3.1416000000000004,0.0,0.0
3.1435333333333335,0.0,0.0
3.1454666666666666,0.0,0.0
3.1474,0.0,0.0
3.1493333333333338,0.0,0.0
3.151266666666667,0.0,0.0
3.1532,0.0,0.0
3.1551333333333336,0.0,0.0
3.1570666666666667,0.0,0.0
3.159,0.0,0.0
3.1609333333333334,0.0,0.0
3.162866666666667,0.0,0.0
3.1648,0.0,0.0
3.166733333333333,0.0,0.0
3.1686666666666667,0.0,0.0
3.1706000000000003,0.0,0.0
3.1725333333333334,0.0,0.0
3.1744666666666665,0.0,0.0
3.1764,0.0,0.0
3.1783333333333337,0.0,0.0
3.180266666666667,0.0,0.0
3.1822,0.0,0.0
3.1841333333333335,0.0,0.0
3.186066666666667,0.0,0.0
3.188,0.0,0.0
3.1899333333333333,0.0,0.0
3.191866666666667,0.0,0.0
3.1938000000000004,0.0,0.0
3.1957333333333335,0.0,0.0
3.1976666666666667,0.0,0.0
3.1996,0.0,0.0
3.2015333333333333,0.0,0.0
3.2034666666666665,0.0,0.0
3.2054,0.0,0.0
3.2073333333333336,0.0,0.0
3.2092666666666667,0.0,0.0
3.2112,0.0,0.0
3.2131333333333334,0.0,0.0
3.215066666666667,0.0,0.0
3.217,0.0,0.0
3.218933333333333,0.0,0.0
3.2208666666666668,0.0,0.0
3.2228000000000003,0.0,0.0
3.2247333333333335,0.0,0.0
3.2266666666666666,0.0,0.0
3.2286,0.0,0.0
3.2305333333333337,0.0,0.0
3.232466666666667,0.0,0.0
3.2344,0.0,0.0
3.2363333333333335,0.0,0.0
3.238266666666667,0.0,0.0
3.2402,0.0,0.0
3.2421333333333333,0.0,0.0
3.244066666666667,0.0,0.0
3.2460000000000004,0.0,0.0
3.2479333333333336,0.0,0.0
3.2498666666666667,0.0,0.0
